设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
113021,2018/9/23 0:49,113021qr15376349847588,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwGlFQbkRohFqp3RvbouV5yQ,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
113612,2018/9/23 0:49,113612qr15376349613498,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vZ55Xq0ikgkYzKqixTlrvM,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112804,2018/9/23 0:22,112804qr15376334068692,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0pIYvthJVzVhJsIO0iCNbfM,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
113013,2018/9/22 23:44,113013qr15376310657618,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0gAAr9WqWWDnuccmsEc_EIg,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113013,2018/9/22 23:40,113013qr15376308409495,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0i3HB1AIPaIdHX_UVRe__Zo,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
112707,2018/9/22 23:02,112707qr15376285964127,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0s-UwgWGRkbmBJS5qCq4fjI,商品0015,东鹏特饮X1,广东省佛山市顺德区,V3.0.37;rk3288;(900x1440)
113612,2018/9/22 21:49,113612qr15376241779527,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vRRM_x1wqxVbO_OQoFtSMQ,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112669,2018/9/22 21:47,112669qr15376240324556,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0iCNfwYasKjNBc5gJaf6hmE,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112669,2018/9/22 21:43,112669qr15376238316736,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0tlbYtZ2XrLHVZp7Rp6IYKQ,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112667,2018/9/22 21:39,112667qr15376235569681,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0sB1nnaraKnWFOLR4YtVFoE,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112891,2018/9/22 21:33,112891qr15376231915470,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0t9CqLgi7ryMBGfn1JN5F5s,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112891,2018/9/22 21:32,112891qr15376231608754,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0qTAal6CbmU1Gp9JJINp4pU,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112667,2018/9/22 20:32,112667qr15376195225885,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0uXe442H3oJrMw6ciY78BGM,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112807,2018/9/22 20:13,112807qr15376184202137,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0jGfWda3IHDTlp6POHF3J6M,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112670,2018/9/22 20:02,112670qr15376177662207,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0sCj2ERA4Fqw3iICV9SPPDk,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113090,2018/9/22 19:22,113090qr15376153147123,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0nV0TYsLxn_Vo3daOkytDzY,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113021,2018/9/22 18:47,113021qr15376132547860,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0hWrqSP2Kd6EEn-WeXghbHM,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
113014,2018/9/22 18:12,113014qr15376111219397,1,0.03,3.5,支付宝,出货成功,平台,0.0,os-xL0gGk7TdNL_Quy2tsotGSJYg,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112811,2018/9/22 18:04,112811up153761066619531832,1,0.04,3.5,会员余额,出货成功,,0.0,os-xL0hV2klTu1uHVBTIMOK9Sggk,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113106,2018/9/22 17:44,113106qr15376094886410,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0qwuNqW0c0OmHq39TuLi2Z8,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
112667,2018/9/22 17:39,112667qr15376091429875,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0m8_hRtADLJTiIuifvPcAwU,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112670,2018/9/22 17:28,112670qr15376085263953,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0l88tA7S34wjLMSuaQ_JJOU,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
